DATE,PRCP,TMAX,TMIN,RAIN
01-01-48,0.47,51,42,1
02-01-48,0.59,45,36,1
03-01-48,0.42,45,35,1
04-01-48,0.31,45,34,1
05-01-48,0.17,45,32,1
06-01-48,0.44,48,39,1
07-01-48,0.41,50,40,1
08-01-48,0.04,48,35,1
09-01-48,0.12,50,31,1
10-01-48,0.74,43,34,1
11-01-48,0.01,42,32,1
12-01-48,0,41,26,0
13-01-48,0,45,29,0
14-01-48,0,38,26,0
15-01-48,0,34,31,0
16-01-48,0,34,28,0
17-01-48,0,35,29,0
18-01-48,0,33,28,0
19-01-48,0,34,27,0
20-01-48,0,36,29,0
21-01-48,0,48,32,0
22-01-48,0.21,47,44,1
23-01-48,0,47,43,0
24-01-48,0.1,45,34,1
25-01-48,0,46,30,0
26-01-48,0,45,32,0
27-01-48,0,53,33,0
28-01-48,0,53,25,0
29-01-48,0.22,42,34,1
30-01-48,0.03,47,30,1
31-01-48,0.21,35,27,1
01-02-48,0.03,39,30,1
02-02-48,0,43,26,0
03-02-48,0.2,38,26,1
04-02-48,0.14,39,31,1
05-02-48,0,36,26,0
06-02-48,0,43,20,0
07-02-48,0.06,43,27,1
08-02-48,0.56,44,35,1
09-02-48,0,45,32,0
10-02-48,0,39,27,0
11-02-48,0,46,23,0
12-02-48,0,43,26,0
13-02-48,0,47,35,0
14-02-48,0.5,46,39,1
15-02-48,0.35,45,37,1
16-02-48,0.84,52,37,1
17-02-48,0.13,57,46,1
18-02-48,0.01,49,32,1
19-02-48,0,45,30,0
20-02-48,0.74,45,35,1
21-02-48,0.46,49,37,1
22-02-48,0.11,47,38,1
23-02-48,0,47,36,0
24-02-48,0.05,44,36,1
25-02-48,0.98,47,41,1
26-02-48,0.09,49,37,1
27-02-48,0,47,35,0
28-02-48,0,50,32,0
29-02-48,0,46,34,0
01-03-48,0.19,47,32,1
02-03-48,0,50,31,0
03-03-48,0,52,28,0
04-03-48,0,57,31,0
05-03-48,0,47,40,0
06-03-48,0.06,47,41,1
07-03-48,0.16,42,34,1
08-03-48,0.11,42,33,1
09-03-48,0,47,33,0
10-03-48,0,51,31,0
11-03-48,0.08,51,31,1
12-03-48,0.06,60,37,1
13-03-48,0.02,54,35,1
14-03-48,0,52,34,0
15-03-48,0,52,36,0
16-03-48,0,50,33,0
17-03-48,0.01,50,36,1
18-03-48,0.13,48,35,1
19-03-48,0,47,33,0
20-03-48,0.06,44,33,1
21-03-48,2.04,46,37,1
22-03-48,0.03,44,30,1
23-03-48,0,54,31,0
24-03-48,0.4,54,36,1
25-03-48,0.33,50,35,1
26-03-48,0,56,36,0
27-03-48,0,70,38,0
28-03-48,0,64,39,0
29-03-48,0,49,39,0
30-03-48,0,54,38,0
31-03-48,0,53,40,0
01-04-48,0.17,46,37,1
02-04-48,0.34,45,33,1
03-04-48,0.03,47,32,1
04-04-48,0.19,49,31,1
05-04-48,0.08,51,32,1
06-04-48,0.09,44,34,1
07-04-48,0,55,30,0
08-04-48,0.11,59,32,1
09-04-48,0.54,50,39,1
10-04-48,0.18,53,38,1
11-04-48,0,51,38,0
12-04-48,0.03,50,39,1
13-04-48,0.01,59,39,1
14-04-48,0,63,42,0
15-04-48,0.33,65,47,1
16-04-48,0,62,43,0
17-04-48,0.37,54,44,1
18-04-48,0,58,41,0
19-04-48,0,61,37,0
20-04-48,0,66,39,0
21-04-48,0.09,55,44,1
22-04-48,0.24,57,43,1
23-04-48,0.02,55,42,1
24-04-48,0.7,46,40,1
25-04-48,0.02,49,34,1
26-04-48,0,50,32,0
27-04-48,0,53,31,0
28-04-48,0.05,45,38,1
29-04-48,0,54,33,0
30-04-48,0.16,56,35,1
01-05-48,0.01,58,38,1
02-05-48,0.08,57,35,1
03-05-48,0.59,53,42,1
04-05-48,0,57,42,0
05-05-48,0.56,55,45,1
06-05-48,0.27,58,42,1
07-05-48,0,59,40,0
08-05-48,0.02,54,42,1
09-05-48,0,52,41,0
10-05-48,0.26,57,43,1
11-05-48,0,63,44,0
12-05-48,0.39,56,42,1
13-05-48,0.14,55,43,1
14-05-48,0.03,58,43,1
15-05-48,0,64,43,0
16-05-48,0.29,60,47,1
17-05-48,0,62,43,0
18-05-48,0.01,60,45,1
19-05-48,0.1,60,40,1
20-05-48,0,73,44,0
21-05-48,0,62,47,0
22-05-48,0,65,48,0
23-05-48,0,66,50,0
24-05-48,0,80,51,0
25-05-48,0,73,51,0
26-05-48,0,69,48,0
27-05-48,0.83,60,50,1
28-05-48,0.88,53,48,1
29-05-48,0.3,58,48,1
30-05-48,0,69,44,0
31-05-48,0,77,46,0
01-06-48,0,71,46,0
02-06-48,0,76,49,0
03-06-48,0.01,67,52,1
04-06-48,0,70,49,0
05-06-48,0,75,48,0
06-06-48,0,82,53,0
07-06-48,0,87,59,0
08-06-48,0,87,60,0
09-06-48,0,81,57,0
10-06-48,0,76,55,0
11-06-48,0.92,60,53,1
12-06-48,0.18,68,50,1
13-06-48,0.11,68,51,1
14-06-48,0,72,50,0
15-06-48,0,71,50,0
16-06-48,0.09,60,52,1
17-06-48,0.01,66,51,1
18-06-48,0,71,50,0
19-06-48,0,68,52,0
20-06-48,0.76,60,52,1
21-06-48,0.01,63,50,1
22-06-48,0,62,49,0
23-06-48,0,70,47,0
24-06-48,0,64,50,0
25-06-48,0,64,48,0
26-06-48,0,74,50,0
27-06-48,0,79,52,0
28-06-48,0,82,57,0
29-06-48,0,83,56,0
30-06-48,0,74,53,0
01-07-48,0,69,45,0
02-07-48,0,70,44,0
03-07-48,0,77,47,0
04-07-48,0.24,66,49,1
05-07-48,0.27,67,50,1
06-07-48,0.44,71,51,1
07-07-48,0.09,66,51,1
08-07-48,0,71,48,0
09-07-48,0,78,51,0
10-07-48,0,73,55,0
11-07-48,0,71,54,0
12-07-48,0,72,50,0
13-07-48,0,76,50,0
14-07-48,0,77,51,0
15-07-48,0,82,51,0
16-07-48,0,80,55,0
17-07-48,0,82,55,0
18-07-48,0.05,61,54,1
19-07-48,0.09,64,55,1
20-07-48,0,67,54,0
21-07-48,0,74,55,0
22-07-48,0,71,53,0
23-07-48,0.01,71,53,1
24-07-48,0,72,49,0
25-07-48,0,79,48,0
26-07-48,0.34,80,52,1
27-07-48,0,67,51,0
28-07-48,0,71,53,0
29-07-48,0,74,51,0
30-07-48,0,80,57,0
31-07-48,0,88,57,0
01-08-48,0,75,54,0
02-08-48,0,68,55,0
03-08-48,0.01,68,55,1
04-08-48,0,64,50,0
05-08-48,0.36,63,49,1
06-08-48,0,70,51,0
07-08-48,0,70,48,0
08-08-48,0,75,51,0
09-08-48,0,71,55,0
10-08-48,0,69,54,0
11-08-48,0,64,53,0
12-08-48,0,74,56,0
13-08-48,0.06,65,53,1
14-08-48,0,68,49,0
15-08-48,0.41,68,53,1
16-08-48,0.05,70,54,1
17-08-48,0.07,74,55,1
18-08-48,0,73,55,0
19-08-48,0,68,52,0
20-08-48,0.01,64,52,1
21-08-48,0.11,65,55,1
22-08-48,0.01,70,54,1
23-08-48,0.11,69,50,1
24-08-48,0.34,62,53,1
25-08-48,0,72,55,0
26-08-48,0.01,72,52,1
27-08-48,0.24,61,53,1
28-08-48,0,80,55,0
29-08-48,0.05,75,57,1
30-08-48,0.03,70,54,1
31-08-48,0,73,51,0
01-09-48,0,74,50,0
02-09-48,0.08,69,52,1
03-09-48,0.05,70,51,1
04-09-48,0,68,50,0
05-09-48,0,70,45,0
06-09-48,0,70,45,0
07-09-48,0,73,50,0
08-09-48,0,78,56,0
09-09-48,0,81,57,0
10-09-48,0,81,55,0
11-09-48,0,76,54,0
12-09-48,0,75,52,0
13-09-48,0,76,52,0
14-09-48,0.08,67,50,1
15-09-48,0.47,64,49,1
16-09-48,0,63,45,0
17-09-48,0,68,45,0
18-09-48,0,70,41,0
19-09-48,0,70,47,0
20-09-48,0,69,52,0
21-09-48,0.34,61,49,1
22-09-48,0.36,51,43,1
23-09-48,0.07,54,40,1
24-09-48,0,58,38,0
25-09-48,0,59,37,0
26-09-48,1.51,49,44,1
27-09-48,0.06,69,44,1
28-09-48,0.83,59,42,1
29-09-48,0,57,39,0
30-09-48,0,63,41,0
01-10-48,0,76,41,0
02-10-48,0.03,69,48,1
03-10-48,0.35,64,52,1
04-10-48,0.21,61,45,1
05-10-48,0,55,42,0
06-10-48,0.14,59,45,1
07-10-48,0.03,64,46,1
08-10-48,0,62,41,0
09-10-48,0,69,38,0
10-10-48,0.66,55,48,1
11-10-48,0,56,43,0
12-10-48,0,57,42,0
13-10-48,0,54,39,0
14-10-48,0,58,42,0
15-10-48,0,56,38,0
16-10-48,0,60,41,0
17-10-48,0,65,40,0
18-10-48,0,67,42,0
19-10-48,0,62,43,0
20-10-48,0,63,40,0
21-10-48,0,57,43,0
22-10-48,0,61,45,0
23-10-48,0.19,59,44,1
24-10-48,0.13,60,44,1
25-10-48,0.18,56,42,1
26-10-48,0.04,54,36,1
27-10-48,0,55,32,0
28-10-48,0.09,44,35,1
29-10-48,0,54,40,0
30-10-48,0.2,46,43,1
31-10-48,0.08,46,41,1
01-11-48,0,47,37,0
02-11-48,0.66,49,41,1
03-11-48,0.07,53,36,1
04-11-48,0.18,50,35,1
05-11-48,0.09,51,39,1
06-11-48,0,52,34,0
07-11-48,0,46,34,0
08-11-48,0,46,27,0
09-11-48,0,45,27,0
10-11-48,0,46,30,0
11-11-48,0,42,31,0
12-11-48,0.07,45,38,1
13-11-48,0.15,48,41,1
14-11-48,0.87,50,41,1
15-11-48,0.43,46,39,1
16-11-48,0.67,47,37,1
17-11-48,0.07,47,35,1
18-11-48,0.07,45,34,1
19-11-48,0.22,47,39,1
20-11-48,0.09,50,41,1
21-11-48,0.03,48,40,1
22-11-48,0,55,40,0
23-11-48,0.33,50,41,1
24-11-48,0.05,50,42,1
25-11-48,0.54,48,32,1
26-11-48,0,45,32,0
27-11-48,0.49,48,36,1
28-11-48,0.49,46,36,1
29-11-48,0.2,45,37,1
30-11-48,0.29,45,39,1
01-12-48,0.78,46,38,1
02-12-48,0,44,34,0
03-12-48,0.01,41,31,1
04-12-48,0.11,39,30,1
05-12-48,0.35,41,33,1
